wheel,name,specifier,url,extras,marker
ipython-8.15.0-py3-none-any.whl,ipykernel,,,[],"extra == ""all"""
ipython-8.15.0-py3-none-any.whl,ipykernel,,,[],"extra == ""doc"""
ipython-8.15.0-py3-none-any.whl,ipykernel,,,[],"extra == ""kernel"""
ipython-8.15.0-py3-none-any.whl,ipyparallel,,,[],"extra == ""all"""
ipython-8.15.0-py3-none-any.whl,ipyparallel,,,[],"extra == ""parallel"""
ipython-8.15.0-py3-none-any.whl,ipywidgets,,,[],"extra == ""all"""
ipython-8.15.0-py3-none-any.whl,ipywidgets,,,[],"extra == ""notebook"""
ipython-8.15.0-py3-none-any.whl,jedi,>=0.16,,[],
ipython-8.15.0-py3-none-any.whl,matplotlib,,,[],"extra == ""all"""
ipython-8.15.0-py3-none-any.whl,matplotlib,!=3.2.0,,[],"extra == ""all"""
ipython-8.15.0-py3-none-any.whl,matplotlib,,,[],"extra == ""doc"""
ipython-8.15.0-py3-none-any.whl,matplotlib,!=3.2.0,,[],"extra == ""test-extra"""
ipython-8.15.0-py3-none-any.whl,matplotlib-inline,,,[],
ipython-8.15.0-py3-none-any.whl,nbconvert,,,[],"extra == ""all"""
ipython-8.15.0-py3-none-any.whl,nbconvert,,,[],"extra == ""nbconvert"""
ipython-8.15.0-py3-none-any.whl,nbformat,,,[],"extra == ""all"""
ipython-8.15.0-py3-none-any.whl,nbformat,,,[],"extra == ""nbformat"""
ipython-8.15.0-py3-none-any.whl,nbformat,,,[],"extra == ""test-extra"""
ipython-8.15.0-py3-none-any.whl,notebook,,,[],"extra == ""all"""
ipython-8.15.0-py3-none-any.whl,notebook,,,[],"extra == ""notebook"""
ipython-8.15.0-py3-none-any.whl,numpy,>=1.21,,[],"extra == ""all"""
ipython-8.15.0-py3-none-any.whl,numpy,>=1.21,,[],"extra == ""test-extra"""
ipython-8.15.0-py3-none-any.whl,pandas,,,[],"extra == ""all"""
ipython-8.15.0-py3-none-any.whl,pandas,,,[],"extra == ""test-extra"""
ipython-8.15.0-py3-none-any.whl,pexpect,>4.3,,[],"sys_platform != ""win32"""
ipython-8.15.0-py3-none-any.whl,pickleshare,,,[],
ipython-8.15.0-py3-none-any.whl,prompt-toolkit,"!=3.0.37,<3.1.0,>=3.0.30",,[],
ipython-8.15.0-py3-none-any.whl,pygments,>=2.4.0,,[],
ipython-8.15.0-py3-none-any.whl,pytest,<7,,[],"extra == ""all"""
ipython-8.15.0-py3-none-any.whl,pytest,<7.1,,[],"extra == ""all"""
ipython-8.15.0-py3-none-any.whl,pytest,<7,,[],"extra == ""doc"""
ipython-8.15.0-py3-none-any.whl,pytest,<7.1,,[],"extra == ""doc"""
ipython-8.15.0-py3-none-any.whl,pytest,<7.1,,[],"extra == ""test"""
ipython-8.15.0-py3-none-any.whl,pytest,<7.1,,[],"extra == ""test-extra"""
ipython-8.15.0-py3-none-any.whl,pytest-asyncio,,,[],"extra == ""all"""
ipython-8.15.0-py3-none-any.whl,pytest-asyncio,,,[],"extra == ""doc"""
ipython-8.15.0-py3-none-any.whl,pytest-asyncio,,,[],"extra == ""test"""
ipython-8.15.0-py3-none-any.whl,pytest-asyncio,,,[],"extra == ""test-extra"""
ipython-8.15.0-py3-none-any.whl,qtconsole,,,[],"extra == ""all"""
ipython-8.15.0-py3-none-any.whl,qtconsole,,,[],"extra == ""qtconsole"""
ipython-8.15.0-py3-none-any.whl,setuptools,>=18.5,,[],"extra == ""all"""
ipython-8.15.0-py3-none-any.whl,setuptools,>=18.5,,[],"extra == ""doc"""
ipython-8.15.0-py3-none-any.whl,sphinx,>=1.3,,[],"extra == ""all"""
ipython-8.15.0-py3-none-any.whl,sphinx,>=1.3,,[],"extra == ""doc"""
ipython-8.15.0-py3-none-any.whl,sphinx-rtd-theme,,,[],"extra == ""all"""
ipython-8.15.0-py3-none-any.whl,sphinx-rtd-theme,,,[],"extra == ""doc"""
ipython-8.15.0-py3-none-any.whl,stack-data,,,[],
ipython-8.15.0-py3-none-any.whl,stack-data,,,[],"extra == ""all"""
ipython-8.15.0-py3-none-any.whl,stack-data,,,[],"extra == ""doc"""
ipython-8.15.0-py3-none-any.whl,testpath,,,[],"extra == ""all"""
ipython-8.15.0-py3-none-any.whl,testpath,,,[],"extra == ""doc"""
ipython-8.15.0-py3-none-any.whl,testpath,,,[],"extra == ""test"""
ipython-8.15.0-py3-none-any.whl,testpath,,,[],"extra == ""test-extra"""
ipython-8.15.0-py3-none-any.whl,traitlets,>=5,,[],
ipython-8.15.0-py3-none-any.whl,trio,,,[],"extra == ""all"""
ipython-8.15.0-py3-none-any.whl,trio,,,[],"extra == ""test-extra"""
ipython-8.15.0-py3-none-any.whl,typing-extensions,,,[],"python_version < ""3.10"""
ipython-8.15.0-py3-none-any.whl,typing-extensions,,,[],"extra == ""all"""
ipython-8.15.0-py3-none-any.whl,typing-extensions,,,[],"extra == ""doc"""
jc-1.23.4-py3-none-any.whl,Pygments,>=2.3.0,,[],
jc-1.23.4-py3-none-any.whl,ruamel.yaml,>=0.15.0,,[],
jc-1.23.4-py3-none-any.whl,xmltodict,>=0.12.0,,[],
mypy-1.5.1-cp311-cp311-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,lxml,,,[],"extra == ""reports"""
mypy-1.5.1-cp311-cp311-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,mypy-extensions,>=1.0.0,,[],
mypy-1.5.1-cp311-cp311-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,pip,,,[],"extra == ""install-types"""
mypy-1.5.1-cp311-cp311-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,psutil,>=4.0,,[],"extra == ""dmypy"""
mypy-1.5.1-cp311-cp311-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,tomli,>=1.1.0,,[],"python_version < ""3.11"""
mypy-1.5.1-cp311-cp311-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,typing-extensions,>=4.1.0,,[],
pgcli-3.5.0-py3-none-any.whl,Pygments,>=2.0,,[],
pgcli-3.5.0-py3-none-any.whl,cli-helpers,>=2.2.1,,"[""styles""]",
pgcli-3.5.0-py3-none-any.whl,click,>=4.1,,[],
pgcli-3.5.0-py3-none-any.whl,configobj,>=5.0.6,,[],
pgcli-3.5.0-py3-none-any.whl,keyring,>=12.2.0,,[],"extra == ""keyring"""
pgcli-3.5.0-py3-none-any.whl,pendulum,>=2.1.0,,[],
pgcli-3.5.0-py3-none-any.whl,pgspecial,>=2.0.0,,[],
pgcli-3.5.0-py3-none-any.whl,prompt-toolkit,"<4.0.0,>=2.0.6",,[],
pgcli-3.5.0-py3-none-any.whl,psycopg,>=3.0.14,,[],
pgcli-3.5.0-py3-none-any.whl,setproctitle,>=1.1.9,,[],
pgcli-3.5.0-py3-none-any.whl,sqlparse,"<0.5,>=0.3.0",,[],
pgcli-3.5.0-py3-none-any.whl,sshtunnel,>=0.4.0,,[],"extra == ""sshtunnel"""
pip_tools-7.3.0-py3-none-any.whl,build,,,[],
pip_tools-7.3.0-py3-none-any.whl,click,>=8,,[],
pip_tools-7.3.0-py3-none-any.whl,covdefaults,,,[],"extra == ""coverage"""
pip_tools-7.3.0-py3-none-any.whl,flit-core,"<4,>=2",,[],"extra == ""testing"""
pip_tools-7.3.0-py3-none-any.whl,pip,>=22.2,,[],
pip_tools-7.3.0-py3-none-any.whl,poetry-core,>=1.0.0,,[],"extra == ""testing"""
pip_tools-7.3.0-py3-none-any.whl,pytest,>=7.2.0,,[],"extra == ""testing"""
pip_tools-7.3.0-py3-none-any.whl,pytest-cov,,,[],"extra == ""coverage"""
pip_tools-7.3.0-py3-none-any.whl,pytest-rerunfailures,,,[],"extra == ""testing"""
